"Premiums Paid,Age,Days to Renew,Claims made,Income"
"2800,26,233,3890.076336,28000"
"2950,27,130,2294.444444,29500"
"3100,28,144,2564.545455,31000"
"3250,30,65,1978.26087,32500"
"3400,32,56,2009.090909,34000"
"3550,35,89,2349.454545,35500"
"3700,44,95,2503.345725,37000"
"3850,45,48,2217.405063,38500"
"4000,46,76,2527.777778,40000"
"6225,56,200,6908.231707,41500"
"6450,67,211,7672.54902,43000"
"6675,69,245,10208.82353,44500"
"6900,70,261,12192.23301,46000"
"4750,34,278,10052.32558,47500"
"4,90,04,41,82,49,00,49,000"
"7575,45,60,4535.032895,50500"
"5200,23,12,2688.636364,52000"
"8025,53,2,4034.668508,53500"
"5500,48,1,2757.575758,55000"
"56,50,49,14,29,38,56,500"
"5800,41,17,3042.074928,58000"
"5950,42,65,3621.73913,59500"
"9150,50,56,5406.818182,61000"
"6250,26,89,4136.363636,62500"
"6400,27,95,4330.111524,64000"
"6550,28,48,3772.468354,65500"
"6700,30,76,4234.027778,67000"
"68,50,32,39,38,36,68,500"
"7000,35,34,3860.606061,70000"
"7150,44,57,4238.762215,71500"
"7300,45,85,4762.007168,73000"
"7450,46,165,6813.567839,74500"
"1,14,00,56,23,41,59,60,00,000"
"11625,67,256,19590.27778,77500"
"11850,69,233,16463.35878,79000"
"12075,70,321,51108.13953,80500"
"8200,34,233,11392.36641,82000"
"12525,44,130,9741.666667,83500"
"12750,45,144,10547.72727,85000"
"12975,23,65,7897.826087,86500"
"1,32,00,53,56,78,00,88,000"
"8950,48,89,5923.272727,89500"
"9100,49,95,6156.877323,91000"
"9250,41,48,5327.531646,92500"
"9400,42,76,5940.277778,94000"
"14325,50,123,10818.04979,95500"
"9700,26,156,8487.5,97000"
"9850,27,245,15064.70588,98500"
"10000,28,261,17669.90291,100000"
"10150,30,278,21480.23256,101500"
"10,30,03,21,82,10,30,00,00,000"
"10450,35,60,6256.25,104500"
"10600,44,12,5480.681818,106000"
"10750,45,2,5404.696133,107500"
"10900,46,1,5465.013774,109000"
"16,57,55,61,48,61,91,10,000"
"16800,67,17,8811.527378,112000"
"17025,69,65,10363.04348,113500"
"23000,70,56,13590.90909,115000"
"11650,34,89,7710.181818,116500"
"11800,44,95,7983.643123,118000"
"11950,45,48,6882.594937,119500"
"12100,23,76,7646.527778,121000"
"1,83,75,53,39,10,29,01,00,000"
"12400,48,34,6838.787879,124000"
"12550,49,57,7440.065147,125500"
"12700,41,85,8284.587814,127000"
"12850,42,165,11752.26131,128500"
"19,50,05,02,34,27,30,00,00,000"
"13150,32,256,22160.18519,131500"
"13300,34,233,18477.8626,133000"
"13450,36,321,56927.90698,134500"
"13600,39,65,8278.26087,136000"
"13,75,04,25,68,12,51,30,000"
"13900,44,89,9199.272727,139000"
"14050,45,95,9505.947955,140500"
"14200,48,48,8178.481013,142000"
"14350,49,76,9068.402778,143500"
"2,17,50,54,39,12,18,01,00,000"
"14650,32,34,8079.69697,146500"
"29600,77,57,17547.88274,148000"
"29900,82,85,19504.6595,149500"
"15100,34,165,13810.05025,151000"
"15,25,05,62,34,21,35,00,00,000"
"23100,63,256,38927.77778,154000"
"23325,62,233,32405.72519,155500"
"23550,59,321,99676.74419,157000"
"23775,58,233,33030.91603,158500"
"24000,52,130,18666.66667,160000"
"16150,45,144,13360.45455,161500"
"24450,54,65,14882.6087,163000"
"16450,36,56,9720.454545,164500"
"16600,82,89,10986.18182,166000"
"16750,34,95,11332.71375,167500"
"25350,56,48,14600.31646,169000"
"25575,63,76,16161.97917,170500"
"25800,62,166,23715.15152,172000"
"26025,59,167,24043.40102,173500"
"26250,58,245,40147.05882,175000"
"26475,52,261,46781.06796,176500"
